""	"TCGA-4T-AA8H-01"	"TCGA-5M-AATE-01"	"TCGA-A6-2675-01"	"TCGA-A6-2681-01"	"TCGA-A6-2685-01"	"TCGA-A6-2686-01"	"TCGA-A6-3809-01"	"TCGA-A6-3810-01"	"TCGA-A6-4105-01"	"TCGA-A6-5661-01"	"TCGA-A6-5665-01"	"TCGA-A6-5666-01"	"TCGA-A6-6780-01"	"TCGA-A6-6782-01"	"TCGA-AA-3489-01"	"TCGA-AA-3492-01"	"TCGA-AA-3496-01"	"TCGA-AA-3510-01"	"TCGA-AA-3511-01"	"TCGA-AA-3522-01"	"TCGA-AA-3655-01"	"TCGA-AA-3660-01"	"TCGA-AA-3663-01"	"TCGA-AA-3697-01"	"TCGA-AA-3947-01"	"TCGA-AA-3984-01"	"TCGA-AA-A00N-01"	"TCGA-AA-A010-01"	"TCGA-AA-A022-01"	"TCGA-AD-6889-01"	"TCGA-AD-A5EJ-01"	"TCGA-AF-A56K-01"	"TCGA-AF-A56N-01"	"TCGA-AG-3591-01"	"TCGA-AG-3592-01"	"TCGA-AG-4022-01"	"TCGA-AM-5821-01"	"TCGA-AU-3779-01"	"TCGA-AY-6197-01"	"TCGA-AY-A69D-01"	"TCGA-AZ-4315-01"	"TCGA-AZ-4681-01"	"TCGA-AZ-5403-01"	"TCGA-AZ-6598-01"	"TCGA-AZ-6601-01"	"TCGA-CA-5254-01"	"TCGA-CA-5255-01"	"TCGA-CA-5256-01"	"TCGA-CA-5796-01"	"TCGA-CA-5797-01"	"TCGA-CA-6716-01"	"TCGA-CA-6717-01"	"TCGA-CA-6718-01"	"TCGA-CA-6719-01"	"TCGA-CI-6622-01"	"TCGA-CK-5913-01"	"TCGA-CK-6746-01"	"TCGA-CK-6747-01"	"TCGA-CL-5918-01"	"TCGA-CM-4743-01"	"TCGA-CM-4752-01"	"TCGA-CM-5349-01"	"TCGA-CM-5860-01"	"TCGA-CM-5861-01"	"TCGA-CM-6164-01"	"TCGA-CM-6165-01"	"TCGA-CM-6168-01"	"TCGA-CM-6169-01"	"TCGA-CM-6674-01"	"TCGA-CM-6677-01"	"TCGA-CM-6679-01"	"TCGA-D5-5537-01"	"TCGA-D5-5540-01"	"TCGA-D5-6529-01"	"TCGA-D5-6531-01"	"TCGA-D5-6532-01"	"TCGA-D5-6534-01"	"TCGA-D5-6536-01"	"TCGA-D5-6541-01"	"TCGA-D5-6920-01"	"TCGA-D5-6924-01"	"TCGA-D5-6927-01"	"TCGA-D5-6928-01"	"TCGA-D5-6930-01"	"TCGA-D5-6932-01"	"TCGA-DC-6682-01"	"TCGA-DM-A0X9-01"	"TCGA-DM-A0XD-01"	"TCGA-DM-A1D0-01"	"TCGA-DM-A1D4-01"	"TCGA-DM-A1D6-01"	"TCGA-DM-A1D7-01"	"TCGA-DM-A1D9-01"	"TCGA-DM-A1DB-01"	"TCGA-DM-A280-01"	"TCGA-DM-A282-01"	"TCGA-DM-A28C-01"	"TCGA-DM-A28E-01"	"TCGA-DM-A28G-01"	"TCGA-DM-A28K-01"	"TCGA-DM-A28M-01"	"TCGA-DT-5265-01"	"TCGA-DY-A0XA-01"	"TCGA-DY-A1DC-01"	"TCGA-EF-5830-01"	"TCGA-EI-6506-01"	"TCGA-EI-6507-01"	"TCGA-EI-6514-01"	"TCGA-EI-6882-01"	"TCGA-EI-6883-01"	"TCGA-F4-6463-01"	"TCGA-F4-6570-01"	"TCGA-F4-6703-01"	"TCGA-F4-6805-01"	"TCGA-F4-6854-01"	"TCGA-F4-6855-01"	"TCGA-F5-6465-01"	"TCGA-F5-6571-01"	"TCGA-F5-6811-01"	"TCGA-F5-6812-01"	"TCGA-F5-6814-01"	"TCGA-F5-6861-01"	"TCGA-G4-6295-01"	"TCGA-G4-6302-01"	"TCGA-G4-6304-01"	"TCGA-G4-6586-01"	"TCGA-G4-6588-01"	"TCGA-G4-6625-01"	"TCGA-G4-6626-01"	"TCGA-G4-6627-01"	"TCGA-NH-A50T-01"	"TCGA-NH-A5IV-01"	"TCGA-NH-A8F7-01"	"TCGA-QG-A5YX-01"	"TCGA-SS-A7HO-01"	"TCGA-T9-A92H-01"	"TCGA-WS-AB45-01"
"APC"	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	3	1	1	1	0	0	1	0	0	1	0	1	1	1	1	3	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	3	1	1	1	0	3	1	0	1	1	1	1	3	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1
"TP53"	0	3	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	3	1	0	1	0	1	1	0	0	0	1	1	1	1	1
"KRAS"	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0
"PIK3CA"	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	0	1	0
"KMT2C"	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1
"KMT2D"	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1
"ARID1A"	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"RYR1"	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
"FBXW7"	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	1
"ASXL1"	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	2	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	2	0	0	0	1	2	0	0	2	1
"FAT1"	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	3	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	0	1	0	1	0	3	0	0	0	0	0	0	0	1
"ZFHX3"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
"ATM"	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0
"PRKDC"	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	3	1	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1
"AMER1"	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	2
"IGF2R"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1
"KMT2A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1
"TCF7L2"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"FLT1"	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0
"ACVR2A"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
"SOX9"	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
"ERBB4"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1
"CREBBP"	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1
